Name,Awards,Education
Atta ur Rehman Khan,8,khan was bright sparks scholar and received his phd degree in computer science from university of malaya he received his masters and bachelor degree with honors in computer science from comsats university under comsats scholarship he has also attended summer camp on advance wireless networks at technische universität ilmenau under daad scholarship
Wil van der Aalst,0,willibrordus martinus pancratius van der aalst born january is dutch computer scientist and full professor at rwth aachen university leading the process and data science pads group his research and teaching interests include information systems workflow management petri nets process mining specification languages and simulation he is also known for his work on workflow patterns
Scott Aaronson,4,scott joel aaronson born may is an american theoretical computer scientist and david bruton jr centennial professor of computer science at the university of texas at austin his primary areas of research are quantum computing and computational complexity theory
Rediet Abebe,3,abebe research develops mathematical and computational frameworks for examining questions related to inequality and distributive justice she co founded the multi institutional research initiatives md sg and black in ai
Hal Abelson,1,he directed the first implementation of the language logo for the apple ii which made the language widely available on personal computers starting in and published widely selling book on logo in together with gerald jay sussman abelson developed mit introductory computer science subject the structure and interpretation of computer programs called by the course number subject organized around the idea that computer language is primarily formal medium for expressing ideas about methodology rather than just way to get computer to perform operations abelson and sussman also cooperate in codirecting the mit project on mathematics and computation the mit opencourseware ocw project was spearheaded by abelson and other mit faculty
Serge Abiteboul,4,the son of two hardware store owners abiteboul attended high school in romorantin and higher school preparatory classes in tours he was admitted to the télécom paris engineering school and studied at the technion in haifa for year
Samson Abramsky,4,samson abramsky frs frse born march is professor of computer science at university college london he has made contributions to the areas of domain theory the lazy lambda calculus strictness analysis concurrency theory interaction categories geometry of interaction game semantics and quantum computing
Leonard Adleman,1,leonard adleman was born to jewish family in california his family had originally immigrated to the united states from modern day belarus from the minsk area he grew up in san francisco and attended the university of california berkeley where he received his degree in mathematics in and his ph degree in eecs in he was also the mathematical consultant on the movie sneakers in he became member of the national academy of engineering for contributions to the theory of computation and cryptography he is also member of the national academy of sciences
Manindra Agrawal,0,manindra agrawal born may is professor at the department of computer science and engineering and the deputy director at the indian institute of technology kanpur he was also the recipient of the first infosys prize for mathematics the godel prize in and the shanti swarup bhatnagar award in mathematical sciences in he has been honoured with padma shri in
Luis von Ahn,3,luis von ahn spanish ˈlwis fon ˈan born august is german guatemalan entrepreneur and consulting professor in the computer science department at carnegie mellon university in pittsburgh pennsylvania he is known as one of the pioneers of crowdsourcing he is the founder of the company recaptcha which was sold to google in and the co founder and ceo of duolingo
Alfred Aho,7,alfred vaino aho born august is canadian computer scientist best known for his work on programming languages compilers and related algorithms and his textbooks on the art and science of computer programming
Frances E. Allen,6,frances elizabeth allen august august was an american computer scientist and pioneer in the field of optimizing compilers allen was the first woman to become an ibm fellow and in became the first woman to win the turing award her achievements include seminal work in compilers program optimization and parallelization she worked for ibm from to and subsequently was fellow emerita
David P. Anderson,0,anderson received ba in mathematics from wesleyan university and ms and phd degrees in mathematics and computer science from the university of wisconsin madison while in graduate school he published four research papers in computer graphics his phd research involved using enhanced attribute grammars to specify and implement communication protocols
Lisa Anthony,0,lisa anthony earned her and in computer science with official concentrations in artificial intelligence human computer interaction and software engineering at drexel university her thesis involved using genetic programming to evolve board evaluation functions for the strategy board game acquire citation needed as summer graduate intern she worked on the collaborative exploratory search project at the fuji xerox palo alto laboratory fxpal citation needed
Andrew Appel,0,andrew wilson appel born is the eugene higgins professor of computer science at princeton university he is especially well known because of his compiler books the modern compiler implementation in ml isbn series as well as compiling with continuations isbn he is also major contributor to the standard ml of new jersey compiler along with david macqueen john reppy matthias blume and others and one of the authors of rog matic
Cecilia R. Aragon,0,cecilia rodriguez aragon is an american computer scientist professor author and champion aerobatic pilot who is best known as the co inventor with raimund seidel of the treap data structure type of binary search tree that orders nodes by adding priority as well as key to each node she is also known for her work in data intensive science and visual analytics of very large data sets for which she received the prestigious presidential early career award for scientists and engineers pecase
Sanjeev Arora,0,he was visiting scholar at the institute for advanced study in
Shakuntala Atre,0,atre was born in in india and grew up in panvel village near mumbai she earned master of science from the university of poona studying mathematics and statistics during her education she also studied languages gaining proficiency in speaking five different languages atre went on to begin her graduate studies in mathematics and physics at the university of heidelberg writing her thesis on astronomy because she needed to make large scale calculations to develop her thesis she began studying computer programming which led to an interest in the field of computer technology during her studies she was hired by ibm in when her student visa expired three and half years later atre and her husband immigrated to the united states
Charles Bachman,5,charles bachman was born in manhattan kansas in where his father charles bachman jr was the head football coach at kansas state college he attended high school in east lansing michigan where his father served as head football coach at michigan state college from
Roland Carl Backhouse,0,roland carl backhouse born august is british computer scientist and mathematician as of update he is emeritus professor of computing science at the university of nottingham
John Backus,0,john warner backus december march was an american computer scientist he directed the team that invented and implemented fortran the first widely used high level programming language and was the inventor of the backus naur form bnf widely used notation to define formal language syntax he later did research into the function level programming paradigm presenting his findings in his influential turing award lecture can programming be liberated from the von neumann style
David F. Bacon,0,bacon began working as programmer at age and worked for startup during his senior year of high school at columbia college columbia university he worked first with david shaw on the non von supercomputer and then on network algorithms and simulation with yechiam yemini creating the nest network simulator which served as the basis for number of other network simulators including cornell real and thence lbl ns simulator
David A. Bader,0,bader is an ieee fellow an aaas fellow siam fellow and an acm fellow he has won awards from ibm microsoft research nvidia facebook intel accenture and sony he has served on numerous conference program committees related to parallel processing and has edited numerous journals in bader was recognized as one of the most impactful authors in the history of the ieee international conference on high performance computing data and analytics hipc
Victor Bahl,0,bahl designed and deployed the world first free public area wi fi hotspot network in the crossroads shopping center in bellevue washington on june the network known as crown short for crossroads wireless network was operational for two years before being retired on june at time when the industry was vigorously pushing networks crown demonstrated how wi fi hotspots could be an inexpensive alternative to cellular internet access crown edge server architecture supported important features such as network discovery global authentication differentiated services last hop cryptographic security and location based services the design and the accompanying protocols influenced internet engineering task force ietf working groups and companies deploying wi fi hot spots the centralized dumb access point and smart switch architecture deployed in enterprise wi fi networks can also be traced back to crown bahl published influential papers and was awarded several us patents for his inventions united states patents
Andrew Barto,0,barto received his with distinction in mathematics from the university of michigan in after having initially majored in naval architecture and engineering after reading work by michael arbib and mcculloch and pitts he became interested in using computers and mathematics to model the brain and five years later was awarded ph in computer science for thesis on cellular automata
Friedrich L. Bauer,14,friedrich ludwig fritz bauer june march was german pioneer of computer science and professor at the technical university of munich
Gordon Bell,8,chester gordon bell born august is an american electrical engineer and manager an early employee of digital equipment corporation dec bell designed several of their pdp machines and later became vice president of engineering overseeing the development of the vax bell later career includes entrepreneur investor founding assistant director of nsf computing and information science and engineering directorate and researcher emeritus at microsoft research
Steven M. Bellovin,0,in september bellovin was appointed chief technologist for the united states federal trade commission replacing edward felten who returned to princeton university he served in this position from september to august
Cecilia Berdichevsky,0,she was born mirjam tuwjasz on march in vidzy at that time part of poland now belarus
Daniel J. Bernstein,0,bernstein attended bellport high school public high school on long island graduating in at the age of the same year he ranked fifth in the westinghouse science talent search in at the age of he achieved top ranking in the william lowell putnam mathematical competition bernstein earned in mathematics from new york university and ph in mathematics from the university of california berkeley where he studied under hendrik lenstra
Peter Bernus,0,peter bernus born is hungarian australian scientist and associate professor of enterprise architecture at the school of information and communication technology griffith university brisbane australia
Gerrit Blaauw,0,born in the hague netherlands blaauw received his ba from the delft university of technology in in blaauw won an exclusive scholarship funded by ibm chief executive officer thomas watson after an initial year at lafayette college in pennsylvania blaauw studied at harvard university he received his ma in and his phd in under supervision of howard aiken inventor of the early mark computer at harvard he worked on design of the mark iii and mark iv computers blaauw met fred brooks while he was working for ibm and visited harvard where fred brooks was then graduate student
Sue Black,0,susan elizabeth black obe frsa born is british computer scientist academic and social entrepreneur she is known for saving bletchley park world war ii codebreaking with her saving bletchley park campaign since she has been professor of computer science and technology evangelist at durham university she was previously based at the university of westminster and university college london
Dorothy Blum,0,dorothy toplitzky was born in in new york city to austro hungarian immigrant parents
Lenore Blum,3,blum was born to jewish family in new york city where her mother was science teacher they moved to venezuela when blum was nine after graduating from her venezuelan high school at age she studied architecture at carnegie institute of technology now carnegie mellon university beginning in with the assistance of alan perlis she shifted fields to mathematics in she married manuel blum then student at the massachusetts institute of technology and transferred in to simmons college private women liberal arts college in boston simmons did not have strong mathematics program but she was eventually able to take isadore singer mathematics classes at mit graduating from simmons with in mathematics in
Manuel Blum,0,manuel blum born april is venezuelan american computer scientist who received the turing award in in recognition of his contributions to the foundations of computational complexity theory and its application to cryptography and program checking
Barry Boehm,1,in boehm was elected as member into the national academy of engineering for contributions to computer and software architectures and to models of cost quality and risk for aerospace systems
Grady Booch,2,booch earned his bachelor degree in from the united states air force academy and master degree in electrical engineering in from the university of california santa barbara
George Boole,0,george boole buːl november december was largely self taught english mathematician philosopher and logician most of whose short career was spent as the first professor of mathematics at queen college cork in ireland he worked in the fields of differential equations and algebraic logic and is best known as the author of the laws of thought which contains boolean algebra boolean logic is credited with laying the foundations for the information age
Andrew Booth,0,andrew donald booth february november was british electrical engineer physicist and computer scientist who was an early developer of the magnetic drum memory for computers he is known for booth multiplication algorithm in his later career in canada he became president of lakehead university
Kathleen Booth,0,kathleen hylda valerie booth née britten july september was british computer scientist and mathematician who wrote the first assembly language and designed the assembler and autocode for the first computer systems at birkbeck college university of london she helped design three different machines including the arc automatic relay calculator sec simple electronic computer and ape
Anita Borg,0,anita borg january april was an american computer scientist she founded the institute for women and technology and the grace hopper celebration of women in computing
Bert Bos,0,born in the hague bos studied mathematics at the university of groningen and wrote his phd thesis on rapid user interface development with the script language gist
Jonathan Bowen,0,jonathan bowen fbcs frsa born is british computer scientist and an emeritus professor at london south bank university where he headed the centre for applied formal methods prof bowen is also the chairman of museophile limited and has been professor of computer science at birmingham city university visiting professor at the pratt institute new york city university of westminster and king college london and visiting academic at university college london
Harry Bouwman,0,bouwman obtained his ma in political science at the vu university amsterdam in his phd at radboud university nijmegen faculty of social science in and degree in computer science at the open university in the netherlands in
Karlheinz Brandenburg,27,brandenburg has been called the father of the mp format
Lawrence M. Breed,0,lawrence moser larry breed july may was computer scientist artist and inventor best known for his involvement in the programming language apl
Jack E. Bresenham,0,bresenham retired from years of service at ibm as senior technical staff member in he taught for years at winthrop university and has nine patents he has four children janet craig linda and david
David J. Brown,0,david james brown is an american computer scientist he was one of small group that helped to develop the system at stanford university that later resulted in sun microsystems and later was co founder of silicon graphics in
Per Brinch Hansen,1,per brinch hansen november july was danish american computer scientist known for his work in operating systems concurrent programming and parallel and distributed computing
Sjaak Brinkkemper,0,brinkkemper received ba from the university of amsterdam in and an msc from the radboud university nijmegen in both in mathematics in he received phd at the same university with his thesis formalisation of information systems modelling supervised by eckhard falkenberg and alex verrijn stuart
Fred Brooks,4,frederick phillips brooks jr april november was an american computer architect software engineer and computer scientist best known for managing the development of ibm system family of computers and the os software support package then later writing candidly about the process in his seminal book the mythical man month
Rod Brooks,0,rodney allen brooks born december is an australian roboticist fellow of the australian academy of science author and robotics entrepreneur most known for popularizing the actionist approach to robotics he was panasonic professor of robotics at the massachusetts institute of technology and former director of the mit computer science and artificial intelligence laboratory he is founder and former chief technical officer of irobot and co founder chairman and chief technical officer of rethink robotics formerly heartland robotics and currently when is the co founder and chief technical officer of robust ai founded in
Margaret Burnett,0,burnett was born in and is originally from springfield illinois she studied at miami university of ohio from to brought there in part by their newly established program in computer science but eventually majoring in mathematics after graduating she became software engineer for procter gamble the first women hired in management position at their ivorydale factory and research center in cincinnati ohio she left soon after following her husband to santa fe new mexico where she started her own business and then to lawrence kansas
Tracy Camp,5,camp received in mathematics from kalamazoo college in she received in computer science from michigan state university in and ph in computer science from the college of william mary in
Martin Campbell-Kelly,0,martin campbell kelly is an emeritus professor at the university of warwick who has specialised in the history of computing
Rosemary Candlin,0,candlin studied physics as an undergraduate at the university of cambridge and continued her studies at the university with phd in crystallography she had succession of jobs in crystallography at the natural history museum london at princeton then back to the university of cambridge as research assistant to helen megaw
Rod Canion,0,native of houston canion graduated from the university of houston in and with bachelor and master degrees in electrical engineering with an emphasis on computer science
Luca Cardelli,1,luca andrea cardelli fellow of the royal society frs is an italian computer scientist who is research professor at the university of oxford in oxford uk cardelli is well known for his research in type theory and operational semantics among other contributions in programming languages he helped design the language modula implemented the first compiler for the non pure functional language ml defined the concept of typeful programming and helped develop the experimental language polyphonic
John Carmack,0,john carmack ii born august is an american computer programmer and video game developer he co founded the video game company id software and was the lead programmer of its games commander keen wolfenstein doom quake and their sequels carmack made innovations in computer graphics such as his carmack reverse algorithm for shadow volumes in he resigned from id software to work full time at oculus vr as their cto in he reduced his role to consulting cto so he could allocate more time toward artificial general intelligence agi in he left oculus to work on his startup keen technologies
Edwin Catmull,4,edwin earl ed catmull born march is an american computer scientist who is the co founder of pixar and was the president of walt disney animation studios he has been honored for his contributions to computer graphics including the acm turing award
Vint Cerf,11,vinton gray cerf formemrs sɜːrf born june is an american internet pioneer and is recognized as one of the fathers of the internet sharing this title with tcp ip co developer bob kahn he has received honorary degrees and awards that include the national medal of technology the turing award the presidential medal of freedom the marconi prize and membership in the national academy of engineering
